URL,Size (Bytes),# of Outlinks,Content Type
https://www.usatoday.com/story/life/people/2016/12/18/reports-zsa-zsa-gabor-dead-99/95594430/,115406,135,text/html
https://www.usatoday.com/sitemap/2018/june/20/,202457,309,text/html
https://www.usatoday.com/sitemap/2018/december/13/,202123,309,text/html
https://www.usatoday.com/story/money/2020/02/18/rolling-cbd-joints-has-made-wisconsin-vance-global-millions/4793806002/,124550,146,text/html
https://www.usatoday.com/videos/sports/nba/whatimhearing/2020/01/14/wnba-takes-step-right-direction/4469895002/,155546,106,text/html
https://www.usatoday.com/videos/news/2013/06/04/2387391/,151355,106,text/html
https://www.usatoday.com/sitemap/2017/august/23/,202030,309,text/html
https://www.usatoday.com/sitemap/2020/february/24/,153458,118,text/html
https://www.usatoday.com/sports/nhl/sagarin/2016/rating/,324229,288,text/html
https://www.usatoday.com/picture-gallery/sports/nfl/2020/02/05/nfl-power-rankings-post-super-bowl-edition/4660494002/,164343,104,text/html
https://www.usatoday.com/sitemap/2018/december/12/,201575,309,text/html
https://www.usatoday.com/story/sports/nhl/2017/04/10/stanley-cup-nhl-playoffs-why-your-team-wont-win/100257138/,130318,138,text/html
https://www.usatoday.com/sitemap/2019/november/20/,202264,307,text/html
https://www.usatoday.com/videos/life/music/2018/06/25/-beach-boys-discuss-their-first-concerts/36354071/,151802,106,text/html
https://www.usatoday.com/sitemap/2017/august/26/,201515,308,text/html
https://www.usatoday.com/sports/ncaab/sagarin/2012/team/,378202,289,text/html
https://www.usatoday.com/story/news/world/2019/11/21/israels-benjamin-netanyahu-charged-corruption-cases/4259442002/,119694,140,text/html
https://www.usatoday.com/story/sports/mlb/2013/06/05/dj-peterson-has-big-time-bat-ambitions/2390649/,110872,134,text/html
https://www.usatoday.com/sports/ncaab/odds/,148023,104,text/html
https://www.usatoday.com/sitemap/2012/december/7/,195352,308,text/html
https://www.usatoday.com/story/sports/olympics/2013/03/07/olympic-wrestler-gives-back-medal/1970093/,103728,132,text/html
https://www.usatoday.com/sitemap/2012/june/16/,151017,109,text/html
https://www.usatoday.com/sitemap/2012/march/7/,151522,111,text/html
https://www.usatoday.com/story/sports/wnba/2020/02/19/sun-acquire-january-send-williams-to-dream-in-3-way-deal/111336044/,103344,131,text/html
https://www.usatoday.com/sitemap/2012/april/6/,151520,111,text/html
https://www.usatoday.com/sitemap/2018/december/11/,201590,308,text/html
https://www.usatoday.com/story/money/business/2013/06/04/smb-mobile-marketing/2383557/,117870,133,text/html
